p
0.6789685

0.6813695

0.678111

0.6710795

0.6854855

0.628376

0.6045375

0.5733245

0.5530875

0.5397105

0.542969

0.542969

0.5534305

0.571781

0.6014505

0.622888

0.6470695

0.666106

0.6844565

0.6896015

0.7012635

0.66199

0.6388375

0.614656

0.5894455

0.5668075

0.55223

0.53851

0.536795

0.5441695

0.559433

0.5832715

0.6076245

0.6299195

0.6517

0.670565

0.6789685

0.6775965

0.6683355

0.6518715

0.6275185

0.606081

0.582071

0.5578895

0.5431405

0.5366235

0.542283

0.55223

0.570409

0.59339

0.6220305

0.6415815

0.6642195

0.6741665

0.676739

0.6731375

0.6614755

0.645183

0.6196295

0.5949335

0.571781

0.553259

0.5414255

0.5379955

0.5431405

0.5565175

0.5791555

0.6024795

0.630434

0.6535865

0.6700505

0.6796545

0.6820555

0.672623

0.65513

0.6343785

0.61054

0.5894455

0.5674935

0.551544

0.5427975

0.5427975

0.5513725

0.566979

0.588245

0.615342

0.6388375

0.656502

0.670908

0.677768

0.6786255

0.6666205

0.649299

0.627004

0.602651

0.5794985

0.557718

0.5465705

0.540911

0.544341

0.5558315

0.575211

0.5980205

0.621516

0.644154

0.662676

0.674681

0.681541

0.672966

0.6577025

0.638666

0.615685

0.5918465

0.569723

0.55223

0.5417685

0.5397105

0.5462275

0.560462

0.5801845

0.6035085

0.62769

0.6517

0.667478

0.67571
